[2024-06-14 19:30:00] [INFO     discord.client: logging in using static token
[2024-06-14 20:41:32] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 764bfa350bd736248fe759cdfe0895f9).
[2024-06-14 20:42:07] [INFO     discord.client: logging in using static token
[2024-06-14 20:42:08] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: bf6db99ffef369d1158698c2889bf66d).
[2024-06-14 20:50:47] [INFO     discord.client: logging in using static token
[2024-06-14 20:50:48] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: dc6f65605c6c6ca47b6b537ac162cc09).
[2024-06-14 20:51:47] [INFO     discord.client: logging in using static token
[2024-06-14 20:51:48] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: c7a9326c5d02ef648c6b6602b65ea147).
[2024-06-14 20:53:42] [INFO     discord.client: logging in using static token
[2024-06-14 20:53:43] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 0f329184be6b0a979d5d839346e5c6c3).
[2024-06-14 21:48:04] [INFO     discord.client: logging in using static token
[2024-06-14 21:48:05] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: c91ebfdbf14efcfa510f00722114e673).
[2024-06-14 21:49:04] [INFO     discord.client: logging in using static token
[2024-06-14 21:49:05] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: eae2553758764421157cefbd77bfe881).
[2024-06-14 21:50:50] [INFO     discord.client: logging in using static token
[2024-06-14 21:50:51] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 4b04f1c7ee0a11ea10414c9c10ea7c85).
[2024-06-14 21:51:18] [INFO     discord.client: logging in using static token
[2024-06-14 21:51:19] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 85c6d28e5e9ed02b532b473ab9214e96).
[2024-06-14 21:53:07] [INFO     discord.client: logging in using static token
[2024-06-14 21:53:08] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: d31d489601eb740829c772506c5e615b).
[2024-06-14 21:53:43] [INFO     discord.client: logging in using static token
[2024-06-14 21:53:44] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 12fd4ceb3ac736494afd2f9824747ea6).
[2024-06-14 21:57:00] [INFO     discord.client: logging in using static token
[2024-06-14 21:57:01] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: d10c821a59f4cc4aa2482f58855b04fa).
[2024-06-14 21:57:32] [INFO     discord.client: logging in using static token
[2024-06-14 21:57:33] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 9535bae6f12a9e3e0ee93939314b3dc5).
[2024-06-14 21:59:22] [INFO     discord.client: logging in using static token
[2024-06-14 21:59:23] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 3ec37c6c0aaf20e5c55c47787a522b2d).
[2024-06-14 22:06:07] [INFO     discord.client: logging in using static token
[2024-06-14 22:06:08] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: cdc8c98a2ae31f36655dbccbf14b0c03).
[2024-06-14 22:06:48] [INFO     discord.client: logging in using static token
[2024-06-14 22:06:49] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 52206a5e9072cb0be700f8e8680d76c0).
[2024-06-14 22:09:02] [INFO     discord.client: logging in using static token
[2024-06-14 22:09:03] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: a6b39d3a6964b584ec23ae2566615f42).
[2024-06-14 22:10:49] [INFO     discord.client: logging in using static token
[2024-06-14 22:10:50] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: fb214423e87eb4a3d80c7d7119487cd8).
[2024-06-14 22:28:00] [INFO     discord.client: logging in using static token
[2024-06-14 22:28:01] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 1d7eda20f42133a6c4d111b7402e475f).
[2024-06-14 22:29:59] [INFO     discord.client: logging in using static token
[2024-06-14 22:30:01] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 83b7d8e189c79ee88812d04552b20543).
[2024-06-14 22:30:31] [INFO     discord.client: logging in using static token
[2024-06-14 22:30:31] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: cfd548c4103f0dd70967aad6daff8d49).
[2024-06-14 22:30:59] [INFO     discord.client: logging in using static token
[2024-06-14 22:31:00] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: fcdb752725b2a8e9e5311d8d114161b1).
[2024-06-14 22:34:04] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926345 responded with 429. Retrying in 0.30 seconds.
[2024-06-14 22:34:04] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926295 responded with 429. Retrying in 0.30 seconds.
[2024-06-14 22:34:04] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926295 responded with 429. Retrying in 0.60 seconds.
[2024-06-14 22:34:05] [WARNING  discord.http: We are being rate limited. POST https://discord.com/api/v10/channels/1251256423711772732/messages responded with 429. Retrying in 0.30 seconds.
[2024-06-14 22:34:05] [WARNING  discord.http: We are being rate limited. POST https://discord.com/api/v10/channels/1251256423711772732/messages responded with 429. Retrying in 0.30 seconds.
[2024-06-14 22:34:05] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572099694683 responded with 429. Retrying in 0.46 seconds.
[2024-06-14 22:34:06] [WARNING  discord.http: We are being rate limited. POST https://discord.com/api/v10/channels/1251256423711772732/messages responded with 429. Retrying in 0.61 seconds.
[2024-06-14 22:34:12] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572472983653 responded with 429. Retrying in 0.78 seconds.
[2024-06-14 22:34:12] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.76 seconds.
[2024-06-14 22:34:12] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572099694683 responded with 429. Retrying in 0.49 seconds.
[2024-06-14 22:34:13] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:13] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572099694683 responded with 429. Retrying in 0.80 seconds.
[2024-06-14 22:34:14] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.82 seconds.
[2024-06-14 22:34:16] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288565694992541 responded with 429. Retrying in 0.81 seconds.
[2024-06-14 22:34:16] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926295 responded with 429. Retrying in 0.81 seconds.
[2024-06-14 22:34:16] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288593582788648 responded with 429. Retrying in 0.80 seconds.
[2024-06-14 22:34:17] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288565694992541 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:17] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926295 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:17] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572472983653 responded with 429. Retrying in 0.58 seconds.
[2024-06-14 22:34:17] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.57 seconds.
[2024-06-14 22:34:18] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926295 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:18] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.82 seconds.
[2024-06-14 22:34:18] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288565694992541 responded with 429. Retrying in 0.80 seconds.
[2024-06-14 22:34:19] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288574028943404 responded with 429. Retrying in 0.38 seconds.
[2024-06-14 22:34:19] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288565694992541 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:19] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.81 seconds.
[2024-06-14 22:34:19] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288564465926295 responded with 429. Retrying in 0.81 seconds.
[2024-06-14 22:34:20] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572472983653 responded with 429. Retrying in 0.30 seconds.
[2024-06-14 22:34:20] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288593582788648 responded with 429. Retrying in 0.30 seconds.
[2024-06-14 22:34:20] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288565694992541 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:20] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:20] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288572472983653 responded with 429. Retrying in 0.56 seconds.
[2024-06-14 22:34:20] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288593582788648 responded with 429. Retrying in 0.57 seconds.
[2024-06-14 22:34:21] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288593582788648 responded with 429. Retrying in 0.83 seconds.
[2024-06-14 22:34:21] [WARNING  discord.http: We are being rate limited. PATCH https://discord.com/api/v10/channels/1251256423711772732/messages/1251288577782976652 responded with 429. Retrying in 0.81 seconds.
[2024-06-14 23:19:14] [INFO     discord.client: logging in using static token
[2024-06-14 23:19:15] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 0f182ffe6f1bc9cea4d4349189d46551).
[2024-06-14 23:20:01] [INFO     discord.client: logging in using static token
[2024-06-14 23:20:01] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 845baaf7f5c5efa3a6ef162c3d36e221).
[2024-06-14 23:21:23] [INFO     discord.client: logging in using static token
[2024-06-14 23:21:24] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 96f6e6e945e0cc3032efa8cb4465f3f2).
[2024-06-14 23:25:32] [INFO     discord.client: logging in using static token
[2024-06-14 23:25:33] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 9dd975a5c44243db497f25e6fa754b66).
[2024-06-14 23:30:47] [INFO     discord.client: logging in using static token
[2024-06-14 23:30:48] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: dc19269186b55be0757abdddbb9e73d6).
[2024-06-14 23:32:35] [INFO     discord.client: logging in using static token
[2024-06-14 23:32:36] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 87b2242b7acae98e4c886d04c689cc23).
[2024-06-14 23:45:46] [INFO     discord.client: logging in using static token
[2024-06-14 23:45:48] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 53233a963b4e48a62bcf0b317726d854).
[2024-06-14 23:45:53] [ERROR    discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "dice" is not found
[2024-06-14 23:45:59] [ERROR    discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "dice" is not found
[2024-06-14 23:46:46] [INFO     discord.client: logging in using static token
[2024-06-14 23:46:47] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 48e58c4abadb107a93bd3726a92855f1).
[2024-06-14 23:47:41] [INFO     discord.client: logging in using static token
[2024-06-14 23:47:42] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: d1cbfd576ee7a58d02492b2f2035159c).
[2024-06-15 02:19:59] [INFO     discord.client: logging in using static token
[2024-06-15 02:20:00] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 6605e3c589409c74f806f0c76a6ede28).
[2024-06-15 02:24:34] [INFO     discord.client: logging in using static token
[2024-06-15 02:24:36] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 4c091cc7126082f137928fbdfa911fdd).
